scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,n_queries,mean_full,mean_pruned,mean_diff_pruned_minus_full,lower_bound_relative,lower_bound_absolute,upper_bound_absolute,ci95_low,ci95_high,p_noninferiority,t_noninferiority,df_noninferiority,p_upper_test,t_upper_test,df_upper_test,passes_pruning_tost_p_lt_0.05,margin_respected_by_mean,margin_respected_by_ci,retained_for_plot
finetuned_qualt5,dev.small,0.15,15.0,BM25,R@100,6980,0.6777578796561604,0.6651146131805158,-0.0126432664756447,-0.05,-0.033887893982808,1000000.0,-0.0187933620956721,-0.0064931708556172,6.886993799137879e-12,6.771590226296787,6979.0,0.0,-318743659.291204,6979.0,True,True,True,True
finetuned_qualt5,dev.small,0.15,15.0,BM25,RR@10,6980,0.1842761631873379,0.1981292923090917,0.0138531291217537,-0.05,-0.0092138081593668,1000000.0,0.009349903237142,0.0183563550063655,7.248369020703772e-24,10.041292534030072,6979.0,0.0,-435311037.2890784,6979.0,True,True,True,True
finetuned_qualt5,dev.small,0.15,15.0,BM25,nDCG@10,6980,0.2299347532023317,0.2425531993801006,0.0126184461777689,-0.05,-0.0114967376601165,1000000.0,0.0084010836540357,0.0168358087015021,3.2431963777183616e-29,11.209159768101507,6979.0,0.0,-464817506.7630821,6979.0,True,True,True,True
finetuned_qualt5,dev.small,0.15,15.0,SPLADE,R@100,6980,0.8166905444126075,0.7932784145176697,-0.0234121298949379,-0.05,-0.0408345272206303,1000000.0,-0.0276364210579076,-0.0191878387319682,3.637051275127099e-16,8.084952745947378,6979.0,0.0,-464055134.5543374,6979.0,True,True,True,True
finetuned_qualt5,dev.small,0.15,15.0,SPLADE,RR@10,6980,0.2969339837176513,0.2916111224814663,-0.005322861236185,-0.05,-0.0148466991858825,1000000.0,-0.0076471118535301,-0.0029986106188398,5.562140185869566e-16,8.032531900859043,6979.0,0.0,-843413336.7284129,6979.0,True,True,True,True
finetuned_qualt5,dev.small,0.15,15.0,SPLADE,nDCG@10,6980,0.3525535290063942,0.3460392397040682,-0.0065142893023259,-0.05,-0.0176276764503197,1000000.0,-0.0088865812813444,-0.0041419973233073,2.7060368344422902e-20,9.183362337842365,6979.0,0.0,-826333346.9241412,6979.0,True,True,True,True
finetuned_qualt5,dev.small,0.15,15.0,TAS-B,R@100,6980,0.8869149952244508,0.860339063992359,-0.0265759312320916,-0.05,-0.0443457497612225,1000000.0,-0.0308717232933762,-0.0222801391708071,2.992316541062506e-16,8.108922662228785,6979.0,0.0,-456331214.8876274,6979.0,True,True,True,True
finetuned_qualt5,dev.small,0.15,15.0,TAS-B,RR@10,6980,0.3472977213808159,0.3400834584072406,-0.0072142629735752,-0.05,-0.0173648860690407,1000000.0,-0.0100451071625196,-0.0043834187846309,1.137779813889855e-12,7.029106974264288,6979.0,0.0,-692480349.1240029,6979.0,True,True,True,True
finetuned_qualt5,dev.small,0.15,15.0,TAS-B,nDCG@10,6980,0.4106574638556805,0.4016031820927501,-0.0090542817629303,-0.05,-0.020532873192784,1000000.0,-0.0118612698575636,-0.006247293668297,6.343079190359066e-16,8.01625352696102,6979.0,0.0,-698365618.1623161,6979.0,True,True,True,True
finetuned_qualt5,dev.small,0.3,30.0,BM25,RR@10,6980,0.1842761631873379,0.2007211647791877,0.0164450015918497,-0.05,-0.0092138081593668,1000000.0,0.011172049526916,0.0217179536567834,9.731651225767964e-22,9.539071415196409,6979.0,0.0,-371765929.5507292,6979.0,True,True,True,True
