scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,n_queries,mean_full,mean_pruned,mean_diff_pruned_minus_full,lower_bound_relative,lower_bound_absolute,upper_bound_absolute,ci95_low,ci95_high,p_tost,p_noninferiority,t_noninferiority,p_upper_test,t_upper_test,passes_pruning_tost_p_lt_0.05,margin_respected_by_mean,margin_respected_by_ci
cdd_dev.small,,0.15,15.0,BM25,RR@10,6980,0.18427616318733797,0.16751455405466867,-0.0167616091326693,-0.05,-0.009213808159366899,1000000.0,-0.02236816921650487,-0.011155049048833729,0.995833808936585,0.995833808936585,-2.639048525642115,0.0,-349644695.0855602,False,False,False
cdd_dev.small,,0.15,15.0,BM25,nDCG@10,6980,0.2299347532023317,0.20533929388448496,-0.024595459317846725,-0.05,-0.011496737660116586,1000000.0,-0.030231803330320023,-0.018959115305373427,0.9999973450091327,0.9999973450091327,-4.5556970715974145,0.0,-347797083.0045354,False,False,False
cdd_dev.small,,0.15,15.0,BM25,R@100,6980,0.6777578796561604,0.5707139446036295,-0.10704393505253106,-0.05,-0.033887893982808025,1000000.0,-0.1159534373700411,-0.09813443273502101,1.0,1.0,-16.096081661994486,0.0,-220023980.92649207,False,False,False
cdd_dev.small,,0.15,15.0,SPLADE,RR@10,6980,0.29693398371765134,0.25488004275253556,-0.04205394096511575,-0.05,-0.014846699185882568,1000000.0,-0.047407992592332526,-0.03669988933789897,1.0,1.0,-9.96151465529609,0.0,-366134691.45632,False,False,False
cdd_dev.small,,0.15,15.0,SPLADE,nDCG@10,6980,0.3525535290063942,0.3004916570363618,-0.052061871970032404,-0.05,-0.01762767645031971,1000000.0,-0.05762017867097147,-0.04650356526909334,1.0,1.0,-12.14425424941716,0.0,-352680081.4823013,False,False,False
cdd_dev.small,,0.15,15.0,SPLADE,R@100,6980,0.8166905444126075,0.6897803247373447,-0.12691021967526267,-0.05,-0.04083452722063038,1000000.0,-0.13517707727251665,-0.11864336207800867,1.0,1.0,-20.410962525103223,0.0,-237128096.60196367,False,False,False
cdd_dev.small,,0.15,15.0,TAS-B,RR@10,6980,0.3472977213808159,0.29809830809114474,-0.04919941328967117,-0.05,-0.017364886069040793,1000000.0,-0.055157635948804164,-0.04324119063053818,1.0,1.0,-10.473819675110636,0.0,-329008190.31572914,False,False,False
cdd_dev.small,,0.15,15.0,TAS-B,nDCG@10,6980,0.4106574638556805,0.3497671753542835,-0.06089028850139707,-0.05,-0.02053287319278403,1000000.0,-0.06699199323392208,-0.054788583768872065,1.0,1.0,-12.965688186747407,0.0,-321271540.2382266,False,False,False
cdd_dev.small,,0.15,15.0,TAS-B,R@100,6980,0.8869149952244508,0.7474808978032473,-0.13943409742120344,-0.05,-0.04434574976122255,1000000.0,-0.14798282778071883,-0.13088536706168805,1.0,1.0,-21.804648930443292,0.0,-229309400.2298201,False,False,False
cdd_dev.small,,0.3,30.0,BM25,RR@10,6980,0.18427616318733797,0.14694728703324691,-0.03732887615409105,-0.05,-0.009213808159366899,1000000.0,-0.04401551137624645,-0.030642240931935648,0.9999999999999999,0.9999999999999999,-8.242423467432761,0.0,-293167485.01763785,False,False,False
cdd_dev.small,,0.3,30.0,BM25,nDCG@10,6980,0.2299347532023317,0.1775371589446228,-0.05239759425770888,-0.05,-0.011496737660116586,1000000.0,-0.059284490644786,-0.045510697870631764,1.0,1.0,-11.642125359947253,0.0,-284642595.25195235,False,False,False
cdd_dev.small,,0.3,30.0,BM25,R@100,6980,0.6777578796561604,0.4776862464183381,-0.20007163323782234,-0.05,-0.033887893982808025,1000000.0,-0.2110996315255297,-0.18904363495011497,1.0,1.0,-29.540323940945253,0.0,-177757041.5947587,False,False,False
cdd_dev.small,,0.3,30.0,SPLADE,RR@10,6980,0.29693398371765134,0.21781132032564696,-0.07912266339200436,-0.05,-0.014846699185882568,1000000.0,-0.08616534811508308,-0.07207997866892563,1.0,1.0,-17.890965164636828,0.0,-278346140.75713325,False,False,False
cdd_dev.small,,0.3,30.0,SPLADE,nDCG@10,6980,0.3525535290063942,0.2543846885721841,-0.09816884043421009,-0.05,-0.01762767645031971,1000000.0,-0.10548033536477795,-0.09085734550364223,1.0,1.0,-21.594101349948406,0.0,-268112632.12107894,False,False,False
cdd_dev.small,,0.3,30.0,SPLADE,R@100,6980,0.8166905444126075,0.5690305635148042,-0.24765998089780322,-0.05,-0.04083452722063038,1000000.0,-0.25844472214214553,-0.2368752396534609,1.0,1.0,-37.59392518562813,0.0,-181766479.06605384,False,False,False
cdd_dev.small,,0.3,30.0,TAS-B,RR@10,6980,0.3472977213808159,0.2561958202574248,-0.09110190112339109,-0.05,-0.017364886069040793,1000000.0,-0.0988894354673183,-0.08331436677946387,1.0,1.0,-18.561325843105536,0.0,-251723337.59912,False,False,False
cdd_dev.small,,0.3,30.0,TAS-B,nDCG@10,6980,0.4106574638556805,0.2980109079381938,-0.11264655591748672,-0.05,-0.02053287319278403,1000000.0,-0.12063614358672577,-0.10465696824824768,1.0,1.0,-22.600767939342955,0.0,-245357365.12443915,False,False,False
cdd_dev.small,,0.3,30.0,TAS-B,R@100,6980,0.8869149952244508,0.6148161413562558,-0.2720988538681948,-0.05,-0.04434574976122255,1000000.0,-0.283041020916773,-0.2611566868196166,1.0,1.0,-40.802275223549124,0.0,-179151395.0415236,False,False,False
cdd_dev.small,,0.45,45.0,BM25,RR@10,6980,0.18427616318733797,0.13142777550370674,-0.05284838768363124,-0.05,-0.009213808159366899,1000000.0,-0.06010385460638212,-0.045592920760880354,1.0,1.0,-11.789322432812444,0.0,-270183033.37387073,False,False,False
cdd_dev.small,,0.45,45.0,BM25,nDCG@10,6980,0.2299347532023317,0.15639624377247976,-0.07353850942985193,-0.05,-0.011496737660116586,1000000.0,-0.08110894796154922,-0.06596807089815465,1.0,1.0,-16.065216071779293,0.0,-258941948.22186118,False,False,False
cdd_dev.small,,0.45,45.0,BM25,R@100,6980,0.6777578796561604,0.39376790830945557,-0.2839899713467049,-0.05,-0.033887893982808025,1000000.0,-0.2960931201344622,-0.2718868225589476,1.0,1.0,-40.50814385508005,0.0,-161966488.98700494,False,False,False
cdd_dev.small,,0.45,45.0,SPLADE,RR@10,6980,0.29693398371765134,0.18618996452449174,-0.1107440191931596,-0.05,-0.014846699185882568,1000000.0,-0.11884999507635612,-0.10263804330996308,1.0,1.0,-23.191272549228138,0.0,-241834444.54717857,False,False,False
cdd_dev.small,,0.45,45.0,SPLADE,nDCG@10,6980,0.3525535290063942,0.21505339204028157,-0.13750013696611263,-0.05,-0.01762767645031971,1000000.0,-0.14590077167442236,-0.1290995022578029,1.0,1.0,-27.97246481719916,0.0,-233351918.72307974,False,False,False
cdd_dev.small,,0.45,45.0,SPLADE,R@100,6980,0.8166905444126075,0.4543696275071633,-0.3623209169054441,-0.05,-0.04083452722063038,1000000.0,-0.374454481159941,-0.3501873526509472,1.0,1.0,-51.93948199942071,0.0,-161560496.75727516,False,False,False
cdd_dev.small,,0.45,45.0,TAS-B,RR@10,6980,0.3472977213808159,0.2156323623049984,-0.13166535907581753,-0.05,-0.017364886069040793,1000000.0,-0.140461161011687,-0.12286955713994804,1.0,1.0,-25.47393305185771,0.0,-222868162.62240607,False,False,False
cdd_dev.small,,0.45,45.0,TAS-B,nDCG@10,6980,0.4106574638556805,0.24732440814561896,-0.1633330557100616,-0.05,-0.02053287319278403,1000000.0,-0.17235223301976133,-0.15431387840036187,1.0,1.0,-31.037394365202452,0.0,-217348457.73659748,False,False,False
