source_file,scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,value,mean_full,equivalent
compare_all_finetuned_qualt5_dev.small_0.15.csv,finetuned_qualt5,dev.small,0.15,15.0,BM25,RR@10,0.1981292923090918,0.1842761631873375,True
compare_all_finetuned_qualt5_dev.small_0.15.csv,finetuned_qualt5,dev.small,0.15,15.0,BM25,nDCG@10,0.242553199380103,0.229934753202334,True
compare_all_finetuned_qualt5_dev.small_0.15.csv,finetuned_qualt5,dev.small,0.15,15.0,BM25,R@100,0.6651146131805158,0.6777578796561604,True
compare_all_finetuned_qualt5_dev.small_0.15.csv,finetuned_qualt5,dev.small,0.15,15.0,SPLADE,RR@10,0.2916111224814648,0.2969339837176502,True
compare_all_finetuned_qualt5_dev.small_0.15.csv,finetuned_qualt5,dev.small,0.15,15.0,SPLADE,nDCG@10,0.3460392397040681,0.3525535290063931,True
compare_all_finetuned_qualt5_dev.small_0.15.csv,finetuned_qualt5,dev.small,0.15,15.0,SPLADE,R@100,0.7932784145176697,0.8166905444126076,True
compare_all_finetuned_qualt5_dev.small_0.15.csv,finetuned_qualt5,dev.small,0.15,15.0,TAS-B,RR@10,0.3400834584072402,0.3472977213808154,True
compare_all_finetuned_qualt5_dev.small_0.15.csv,finetuned_qualt5,dev.small,0.15,15.0,TAS-B,nDCG@10,0.4016031820927455,0.4106574638556753,True
compare_all_finetuned_qualt5_dev.small_0.15.csv,finetuned_qualt5,dev.small,0.15,15.0,TAS-B,R@100,0.8603390639923592,0.8869149952244509,True
compare_all_finetuned_qualt5_dev.small_0.3.csv,finetuned_qualt5,dev.small,0.3,30.0,BM25,RR@10,0.2007211647791874,0.1842761631873375,True
compare_all_finetuned_qualt5_dev.small_0.3.csv,finetuned_qualt5,dev.small,0.3,30.0,BM25,nDCG@10,0.2434862851842873,0.229934753202334,True
compare_all_finetuned_qualt5_dev.small_0.3.csv,finetuned_qualt5,dev.small,0.3,30.0,BM25,R@100,0.6394102196752626,0.6777578796561604,False
compare_all_finetuned_qualt5_dev.small_0.3.csv,finetuned_qualt5,dev.small,0.3,30.0,SPLADE,RR@10,0.2865110633556181,0.2969339837176502,True
compare_all_finetuned_qualt5_dev.small_0.3.csv,finetuned_qualt5,dev.small,0.3,30.0,SPLADE,nDCG@10,0.3376714878794095,0.3525535290063931,False
compare_all_finetuned_qualt5_dev.small_0.3.csv,finetuned_qualt5,dev.small,0.3,30.0,SPLADE,R@100,0.7534264565425024,0.8166905444126076,False
compare_all_finetuned_qualt5_dev.small_0.3.csv,finetuned_qualt5,dev.small,0.3,30.0,TAS-B,RR@10,0.3326043230090497,0.3472977213808154,False
compare_all_finetuned_qualt5_dev.small_0.3.csv,finetuned_qualt5,dev.small,0.3,30.0,TAS-B,nDCG@10,0.3905147210561426,0.4106574638556753,False
compare_all_finetuned_qualt5_dev.small_0.3.csv,finetuned_qualt5,dev.small,0.3,30.0,TAS-B,R@100,0.8148638968481375,0.8869149952244509,False
compare_all_finetuned_qualt5_dev.small_0.45.csv,finetuned_qualt5,dev.small,0.45,45.0,BM25,RR@10,0.1960431732387317,0.1842761631873375,True
compare_all_finetuned_qualt5_dev.small_0.45.csv,finetuned_qualt5,dev.small,0.45,45.0,BM25,nDCG@10,0.2349275573261909,0.229934753202334,True
compare_all_finetuned_qualt5_dev.small_0.45.csv,finetuned_qualt5,dev.small,0.45,45.0,BM25,R@100,0.591893505253104,0.6777578796561604,False
compare_all_finetuned_qualt5_dev.small_0.45.csv,finetuned_qualt5,dev.small,0.45,45.0,SPLADE,RR@10,0.2732224723700359,0.2969339837176502,False
compare_all_finetuned_qualt5_dev.small_0.45.csv,finetuned_qualt5,dev.small,0.45,45.0,SPLADE,nDCG@10,0.3193675608021902,0.3525535290063931,False
compare_all_finetuned_qualt5_dev.small_0.45.csv,finetuned_qualt5,dev.small,0.45,45.0,SPLADE,R@100,0.6890401146131805,0.8166905444126076,False
compare_all_finetuned_qualt5_dev.small_0.45.csv,finetuned_qualt5,dev.small,0.45,45.0,TAS-B,RR@10,0.3154203620321085,0.3472977213808154,False
compare_all_finetuned_qualt5_dev.small_0.45.csv,finetuned_qualt5,dev.small,0.45,45.0,TAS-B,nDCG@10,0.3671228631329101,0.4106574638556753,False
compare_all_finetuned_qualt5_dev.small_0.45.csv,finetuned_qualt5,dev.small,0.45,45.0,TAS-B,R@100,0.7405682903533906,0.8869149952244509,False
compare_all_finetuned_qualt5_dev.small_0.6.csv,finetuned_qualt5,dev.small,0.6,60.0,BM25,RR@10,0.1884257174694139,0.1842761631873375,True
compare_all_finetuned_qualt5_dev.small_0.6.csv,finetuned_qualt5,dev.small,0.6,60.0,BM25,nDCG@10,0.2221454996087394,0.229934753202334,False
compare_all_finetuned_qualt5_dev.small_0.6.csv,finetuned_qualt5,dev.small,0.6,60.0,BM25,R@100,0.5248567335243552,0.6777578796561604,False
compare_all_finetuned_qualt5_dev.small_0.6.csv,finetuned_qualt5,dev.small,0.6,60.0,SPLADE,RR@10,0.2511738186200931,0.2969339837176502,False
compare_all_finetuned_qualt5_dev.small_0.6.csv,finetuned_qualt5,dev.small,0.6,60.0,SPLADE,nDCG@10,0.2909566052883653,0.3525535290063931,False
compare_all_finetuned_qualt5_dev.small_0.6.csv,finetuned_qualt5,dev.small,0.6,60.0,SPLADE,R@100,0.5978032473734478,0.8166905444126076,False
compare_all_finetuned_qualt5_dev.small_0.6.csv,finetuned_qualt5,dev.small,0.6,60.0,TAS-B,RR@10,0.2909970095965785,0.3472977213808154,False
compare_all_finetuned_qualt5_dev.small_0.6.csv,finetuned_qualt5,dev.small,0.6,60.0,TAS-B,nDCG@10,0.3347545705350044,0.4106574638556753,False
compare_all_finetuned_qualt5_dev.small_0.6.csv,finetuned_qualt5,dev.small,0.6,60.0,TAS-B,R@100,0.6365329512893982,0.8869149952244509,False
compare_all_finetuned_qualt5_test-2019_test-2020_0.15.csv,finetuned_qualt5,test-2019_test-2020,0.15,15.0,BM25,RR@10,0.8098469972181314,0.798678612338406,True
compare_all_finetuned_qualt5_test-2019_test-2020_0.15.csv,finetuned_qualt5,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,0.5054054718443595,0.4873823836823968,True
compare_all_finetuned_qualt5_test-2019_test-2020_0.15.csv,finetuned_qualt5,test-2019_test-2020,0.15,15.0,BM25,R@100,0.4655113733661825,0.4769567428702132,False
compare_all_finetuned_qualt5_test-2019_test-2020_0.15.csv,finetuned_qualt5,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,0.8653330060546557,0.8618106692848961,True
