scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,value,mean_full,equivalent
finetuned_qualt5,dev.small,0.15,15.0,BM25,RR@10,0.1981292923090918,,False
finetuned_qualt5,dev.small,0.15,15.0,BM25,nDCG@10,0.242553199380103,,False
finetuned_qualt5,dev.small,0.15,15.0,BM25,R@100,0.6651146131805158,,False
finetuned_qualt5,dev.small,0.15,15.0,SPLADE,RR@10,0.2916111224814648,,False
finetuned_qualt5,dev.small,0.15,15.0,SPLADE,nDCG@10,0.3460392397040681,,False
finetuned_qualt5,dev.small,0.15,15.0,SPLADE,R@100,0.7932784145176697,,False
finetuned_qualt5,dev.small,0.15,15.0,TAS-B,RR@10,0.3400834584072402,,False
finetuned_qualt5,dev.small,0.15,15.0,TAS-B,nDCG@10,0.4016031820927455,,False
finetuned_qualt5,dev.small,0.15,15.0,TAS-B,R@100,0.8603390639923592,,False
finetuned_qualt5,dev.small,0.3,30.0,BM25,RR@10,0.2007211647791874,,False
finetuned_qualt5,dev.small,0.3,30.0,BM25,nDCG@10,0.2434862851842873,,False
finetuned_qualt5,dev.small,0.3,30.0,BM25,R@100,0.6394102196752626,,False
finetuned_qualt5,dev.small,0.3,30.0,SPLADE,RR@10,0.2865110633556181,,False
finetuned_qualt5,dev.small,0.3,30.0,SPLADE,nDCG@10,0.3376714878794095,,False
finetuned_qualt5,dev.small,0.3,30.0,SPLADE,R@100,0.7534264565425024,,False
finetuned_qualt5,dev.small,0.3,30.0,TAS-B,RR@10,0.3326043230090497,,False
finetuned_qualt5,dev.small,0.3,30.0,TAS-B,nDCG@10,0.3905147210561426,,False
finetuned_qualt5,dev.small,0.3,30.0,TAS-B,R@100,0.8148638968481375,,False
finetuned_qualt5,dev.small,0.45,45.0,BM25,RR@10,0.1960431732387317,,False
finetuned_qualt5,dev.small,0.45,45.0,BM25,nDCG@10,0.2349275573261909,,False
finetuned_qualt5,dev.small,0.45,45.0,BM25,R@100,0.591893505253104,,False
finetuned_qualt5,dev.small,0.45,45.0,SPLADE,RR@10,0.2732224723700359,,False
finetuned_qualt5,dev.small,0.45,45.0,SPLADE,nDCG@10,0.3193675608021902,,False
finetuned_qualt5,dev.small,0.45,45.0,SPLADE,R@100,0.6890401146131805,,False
finetuned_qualt5,dev.small,0.45,45.0,TAS-B,RR@10,0.3154203620321085,,False
finetuned_qualt5,dev.small,0.45,45.0,TAS-B,nDCG@10,0.3671228631329101,,False
finetuned_qualt5,dev.small,0.45,45.0,TAS-B,R@100,0.7405682903533906,,False
finetuned_qualt5,dev.small,0.6,60.0,BM25,RR@10,0.1884257174694139,,False
finetuned_qualt5,dev.small,0.6,60.0,BM25,nDCG@10,0.2221454996087394,,False
finetuned_qualt5,dev.small,0.6,60.0,BM25,R@100,0.5248567335243552,,False
finetuned_qualt5,dev.small,0.6,60.0,SPLADE,RR@10,0.2511738186200931,,False
finetuned_qualt5,dev.small,0.6,60.0,SPLADE,nDCG@10,0.2909566052883653,,False
finetuned_qualt5,dev.small,0.6,60.0,SPLADE,R@100,0.5978032473734478,,False
finetuned_qualt5,dev.small,0.6,60.0,TAS-B,RR@10,0.2909970095965785,,False
finetuned_qualt5,dev.small,0.6,60.0,TAS-B,nDCG@10,0.3347545705350044,,False
finetuned_qualt5,dev.small,0.6,60.0,TAS-B,R@100,0.6365329512893982,,False
finetuned_qualt5,test-2019_test-2020,0.15,15.0,BM25,RR@10,0.8098469972181314,0.7986786123384061,True
finetuned_qualt5,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,0.5054054718443595,0.4873823836823968,True
finetuned_qualt5,test-2019_test-2020,0.15,15.0,BM25,R@100,0.4655113733661825,0.4769567428702133,False
